barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,ACT,280,280,280,280,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9416744068724,Coles Spring Onions | 1 Bunch,coles,22383,408419,NT,290,290,290,290,1bunch,https://www.coles.com.au/product/coles-spring-onions-1-bunch-408419,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F408419.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,VIC,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,NSW,10000,10000,2000,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,QLD,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,WA,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,SA,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,TAS,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,ACT,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9792354335662,Medjool Date Gift Box 5Kg | 1 Each,coles,22355,7273420,NT,,10000,,2000,1each,https://www.coles.com.au/product/medjool-date-gift-box-5kg-1-each-7273420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7273420.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,VIC,270,270,270,270,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,NSW,350,350,350,350,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,QLD,320,320,320,320,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,WA,350,350,350,350,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,SA,320,320,320,320,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,TAS,300,350,300,350,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,ACT,350,350,350,350,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9369999048846,Coles Baby Broccoli | 1 Bunch,coles,22381,5982477,NT,320,320,320,320,1bunch,https://www.coles.com.au/product/coles-baby-broccoli-1-bunch-5982477,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5982477.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,VIC,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,QLD,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,WA,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,SA,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,TAS,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,ACT,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9310645204512,Coles Wrapped Butternut Pumpkin | approx. 700g,coles,22389,4190600,NT,273,280,390,400,700geach,https://www.coles.com.au/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4190600.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,VIC,490,490,490,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,NSW,490,490,490,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,QLD,550,490,550,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,WA,850,850,850,850,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,SA,490,490,490,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,TAS,490,490,490,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,ACT,490,490,490,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601930111,Coles Apples Mini 1kg | 1 each,coles,22353,2511678,NT,490,490,490,490,1each,https://www.coles.com.au/product/coles-apples-mini-1kg-1-each-2511678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2511678.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,VIC,550,550,550,550,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,NSW,590,590,590,590,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,QLD,490,590,490,590,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
9300601214914,Coles Cauliflower Medium | 1 Each,coles,22381,4601603,WA,550,550,550,550,1each,https://www.coles.com.au/product/coles-cauliflower-medium-1-each-4601603,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4601603.jpg&w=640&q=90
