Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9343158003198,Coles Herb Punnets Vietnamese Mint | 15g,coles,22373,3593190,VIC,,320,,213,15g,https://www.coles.com.au/product/coles-herb-punnets-vietnamese-mint-15g-3593190,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3593190.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,NSW,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,QLD,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,WA,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,SA,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,TAS,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,ACT,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249568,Coles Chocolate Turkish Delight | approx. 100g,coles,22781,3324836,NT,,350,,3500,100g,https://www.coles.com.au/product/coles-chocolate-turkish-delight-approx.-100g-3324836,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324836.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,NSW,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,QLD,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,WA,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,SA,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,TAS,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,ACT,350,350,3500,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645249582,Coles Dark Choc Apricot Nougat | approx. 100g,coles,22781,3324858,NT,,350,,3500,100g,https://www.coles.com.au/product/coles-dark-choc-apricot-nougat-approx.-100g-3324858,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3324858.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,NSW,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,QLD,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,WA,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,SA,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,TAS,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,ACT,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
9310645309491,Coles Sugared Giant Strawberries | approx. 100g,coles,22781,3769821,NT,,250,,2500,100g,https://www.coles.com.au/product/coles-sugared-giant-strawberries-approx.-100g-3769821,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3769821.jpg&w=640&q=90
