Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
8001585001040,Balconi Mix Max Cocoa Cakes 10 pack | 350g,coles,22076,5088122,NSW,725,770,207,220,350g,https://www.coles.com.au/product/balconi-mix-max-cocoa-cakes-10-pack-350g-5088122,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5088122.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,NSW,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,VIC,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,QLD,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,WA,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,SA,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,TAS,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,ACT,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22781,2823342,NT,,750,,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9300601020911,Coles Kalettes Prepack | 200g,coles,22381,3198436,NSW,,450,,2250,200g,https://www.coles.com.au/product/coles-kalettes-prepack-200g-3198436,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3198436.jpg&w=640&q=90
9300601020911,Coles Kalettes Prepack | 200g,coles,22381,3198436,VIC,450,450,2250,2250,200g,https://www.coles.com.au/product/coles-kalettes-prepack-200g-3198436,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3198436.jpg&w=640&q=90
9300601020911,Coles Kalettes Prepack | 200g,coles,22381,3198436,NT,450,450,2250,2250,200g,https://www.coles.com.au/product/coles-kalettes-prepack-200g-3198436,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3198436.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,NSW,600,600,1500,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,VIC,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,QLD,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,WA,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
