barcode,name,shop,category_id,source_id,state,old_price,new_price,weight,source_url,,,image_url
9.421E+12,Abe's Bagels High Protein Low Carb Bagels 4 pack,Woolworths,22087,6020138,NSW,550,450,4 pack,https://www.woolworths.com.au/shop/productdetails/6020138/abe-s-bagels-high-protein-low-carb-bagels,,,https://cdn0.woolworths.media/content/wowproductimages/large/6020138.jpg
7.89673E+11,Mountain Bread Rye Wraps 200g,Woolworths,22088,16436,NSW,490,400,200g,https://www.woolworths.com.au/shop/productdetails/16436/mountain-bread-rye-wraps,,,https://cdn0.woolworths.media/content/wowproductimages/large/016436.jpg
9.30064E+12,Cheer Tasty Cheese Block 200g,Woolworths,22091,902835,NSW,650,490,200g,https://www.woolworths.com.au/shop/productdetails/902835/cheer-tasty-cheese-block,,,https://cdn0.woolworths.media/content/wowproductimages/large/902835.jpg
9.30064E+12,Cheer Vintage Cheese Block 200g,Woolworths,22091,901750,NSW,650,490,200g,https://www.woolworths.com.au/shop/productdetails/901750/cheer-vintage-cheese-block-bitey,,,https://cdn0.woolworths.media/content/wowproductimages/large/901750.jpg
9.32252E+12,Melbourne Cheese Company Persian Fetta 250g,Woolworths,22093,31165,NSW,850,750,250g,https://www.woolworths.com.au/shop/productdetails/31165/melbourne-cheese-company-persian-fetta,,,https://cdn0.woolworths.media/content/wowproductimages/large/031165.jpg
9.33969E+12,Woolworths Chilli Haloumi Cheese 180g,Woolworths,22093,725007,NSW,520,470,180g,https://www.woolworths.com.au/shop/productdetails/725007/woolworths-chilli-haloumi-cheese,,,https://cdn0.woolworths.media/content/wowproductimages/large/725007.jpg
5.00025E+12,Castello Mature Cheddar Cheese 200g,Woolworths,22094,925797,NSW,425,850,200g,https://www.woolworths.com.au/shop/productdetails/925797/castello-mature-cheddar-cheese,,,https://cdn0.woolworths.media/content/wowproductimages/large/925797.jpg
9.31063E+12,Jarlsberg Wedge 230g,Woolworths,22094,161629,NSW,1050,1200,230g,https://www.woolworths.com.au/shop/productdetails/161629/jarlsberg-wedge,,,https://cdn0.woolworths.media/content/wowproductimages/large/161629.jpg
9.32133E+12,Maggie Beer Classic Camembert 180g,Woolworths,22094,6016197,NSW,1100,850,180g,https://www.woolworths.com.au/shop/productdetails/6016197/maggie-beer-classic-camembert,,,https://cdn0.woolworths.media/content/wowproductimages/large/6016197.jpg
9.32133E+12,Maggie Beer Extra Creamy Brie 180g,Woolworths,22094,6016158,NSW,1100,850,180g,https://www.woolworths.com.au/shop/productdetails/6016158/maggie-beer-extra-creamy-brie,,,https://cdn0.woolworths.media/content/wowproductimages/large/6016158.jpg
9.33969E+12,Thomas Dux Club Cheddar Cheese 235g,Woolworths,22094,191040,NSW,400,550,235g,https://www.woolworths.com.au/shop/productdetails/191040/thomas-dux-club-cheddar-cheese,,,https://cdn0.woolworths.media/content/wowproductimages/large/191040.jpg
9.31744E+12,Yumi's Green Goddess Dip Hommus 200g,Woolworths,22109,938157,NSW,450,350,200g,https://www.woolworths.com.au/shop/productdetails/938157/yumi-s-green-goddess-dip-hommus,,,https://cdn0.woolworths.media/content/wowproductimages/large/938157.jpg
9.31744E+12,Yumi's Hommus Roasted Garlic 200g,Woolworths,22109,284855,NSW,450,350,200g,https://www.woolworths.com.au/shop/productdetails/284855/yumi-s-hommus-roasted-garlic,,,https://cdn0.woolworths.media/content/wowproductimages/large/284855.jpg
9.31744E+12,Yumi's Hommus Zesty Lemon 200g,Woolworths,22109,285334,NSW,450,350,200g,https://www.woolworths.com.au/shop/productdetails/285334/yumi-s-hommus-zesty-lemon,,,https://cdn0.woolworths.media/content/wowproductimages/large/285334.jpg
9.31744E+12,Yumi's Spicy Jalapeno Hommus 200g,Woolworths,22109,938180,NSW,450,350,200g,https://www.woolworths.com.au/shop/productdetails/938180/yumi-s-spicy-jalapeno-hommus,,,https://cdn0.woolworths.media/content/wowproductimages/large/938180.jpg
9.31744E+12,Yumi's Traditional Garlic Dip 200g,Woolworths,22109,85313,NSW,450,350,200g,https://www.woolworths.com.au/shop/productdetails/85313/yumi-s-traditional-garlic-dip,,,https://cdn0.woolworths.media/content/wowproductimages/large/085313.jpg
9.31056E+12,Holland House Caviar Black 50g,Woolworths,22111,164178,NSW,600,600,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,,,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9.31005E+12,Meadowlea Original Spread 500g,Woolworths,22113,48016,NSW,390,500,500g,https://www.woolworths.com.au/shop/productdetails/48016/meadowlea-original-spread,,,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9.31348E+12,Woolworths Beef Lasagne 2kg,Woolworths,22117,194648,NSW,1400,1400,2Kg,https://www.woolworths.com.au/shop/productdetails/194648/woolworths-beef-lasagne-null,,,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9.34165E+12,Vitasoy Almond Milk Chocolate 330ml,Woolworths,22133,807018,NSW,360,260,330mL,https://www.woolworths.com.au/shop/productdetails/807018/vitasoy-almond-milk-chocolate,,,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9.34165E+12,Vitasoy Oat Milk Cafe Latte 330mL,Woolworths,22133,212722,NSW,360,260,330mL,https://www.woolworths.com.au/shop/productdetails/212722/vitasoy-oat-milk-cafe-latte,,,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
