barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,ACT,,250,,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
9416050108015,Coles Dried Mango Slices | approx. 100g,coles,22776,1944206,NT,250,250,2500,2500,100g,https://www.coles.com.au/product/coles-dried-mango-slices-approx.-100g-1944206,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1944206.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,NSW,200,200,2000,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,QLD,200,200,2000,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,WA,200,200,2000,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,SA,200,200,2000,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,ACT,,200,,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,TAS,200,200,2000,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105885,Coles BBQ Rice Crackers | approx. 100g,coles,22781,1948626,NT,200,200,2000,2000,100g,https://www.coles.com.au/product/coles-bbq-rice-crackers-approx.-100g-1948626,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1948626.jpg&w=640&q=90
9416050105908,Coles Cashew & Soy Crisps Mix | approx. 100g,coles,22781,1958018,NSW,300,300,3000,3000,100g,https://www.coles.com.au/product/coles-cashew-and-soy-crisps-mix-approx.-100g-1958018,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1958018.jpg&w=640&q=90
