barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,WA,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,SA,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,TAS,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,ACT,420,420,420,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9334573000237,Coles Trimmed Celery Prepacked | 1 each,coles,22383,2386281,NT,,420,,420,1each,https://www.coles.com.au/product/coles-trimmed-celery-prepacked-1-each-2386281,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2386281.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22386,2483914,QLD,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22386,2483914,SA,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22386,2483914,ACT,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22386,2483914,NT,,290,,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,VIC,490,490,163,163,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,NSW,490,490,163,163,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,QLD,490,490,163,163,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,WA,470,470,157,157,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,SA,490,490,163,163,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,TAS,490,490,163,163,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9331253002079,Coles Baby Gem Lettuce | 3 pack,coles,22376,2584547,NT,,490,,163,3pack,https://www.coles.com.au/product/coles-baby-gem-lettuce-3-pack-2584547,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2584547.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,VIC,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,NSW,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,QLD,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,WA,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,SA,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,TAS,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,ACT,500,500,1429,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645171869,Coles Kitchen Creme Royale Potato Mash | 350g,coles,22390,2679519,NT,,500,,1429,350g,https://www.coles.com.au/product/coles-kitchen-creme-royale-potato-mash-350g-2679519,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2679519.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22355,2823342,VIC,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22355,2823342,NSW,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22355,2823342,QLD,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22355,2823342,WA,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22355,2823342,SA,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
9310645190938,Coles Organic Medjool Dates | 227g,coles,22355,2823342,TAS,750,750,3304,3304,227g,https://www.coles.com.au/product/coles-organic-medjool-dates-227g-2823342,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2823342.jpg&w=640&q=90
