Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,VIC,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,NSW,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,QLD,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,WA,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,SA,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,TAS,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,ACT,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,NT,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,VIC,390,390,260,260,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,NSW,390,490,260,327,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,QLD,490,490,327,327,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,SA,490,490,327,327,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,TAS,490,490,327,327,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,ACT,490,490,327,327,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9310645278223,Coles I'm Perfect Sweet Potato | 1.5kg,coles,22389,3616751,NT,,490,,327,1.5kg,https://www.coles.com.au/product/coles-i'm-perfect-sweet-potato-1.5kg-3616751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3616751.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,VIC,490,490,1225,1225,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,NSW,490,650,1225,1625,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,QLD,750,750,1875,1875,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,WA,750,750,1875,1875,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,SA,490,490,1225,1225,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,TAS,490,490,1225,1225,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,ACT,650,650,1625,1625,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9321942008000,Coles Brussels Sprouts Prepack | 400g,coles,22381,9323257,NT,,490,,1225,400g,https://www.coles.com.au/product/coles-brussels-sprouts-prepack-400g-9323257,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F9%2F9323257.jpg&w=640&q=90
9317885000904,Coles Drumhead Cabbage Mini | 1 Each,coles,22381,1475874,VIC,790,790,790,790,1each,https://www.coles.com.au/product/coles-drumhead-cabbage-mini-1-each-1475874,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1475874.jpg&w=640&q=90
9317885000904,Coles Drumhead Cabbage Mini | 1 Each,coles,22381,1475874,NSW,790,690,790,690,1each,https://www.coles.com.au/product/coles-drumhead-cabbage-mini-1-each-1475874,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1475874.jpg&w=640&q=90
