barcode,,name,shop,category_id,source_id,weight,source_url,image_url
9.31E+12,,Schwarzkopf Extra Care Ultimate Repair Strengthen ... 400mL,coles,23904,4454189,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-ultimate-repair-strengthening-conditioner-400m-400ml-4454189,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454189.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Ultimate Repair Conditioner For Damaged Hair 400mL,Woolworths,23904,152969,400mL,https://www.woolworths.com.au/shop/productdetails/152969/schwarzkopf-extra-care-ultimate-repair-conditioner-for-damaged-hair,https://cdn0.woolworths.media/content/wowproductimages/large/152969.jpg
9.31E+12,,Schwarzkopf Extra Care Ultimate Repair Strengthen ... 950mL,coles,23904,4453856,950ml,https://www.coles.com.au/product/schwarzkopf-extra-care-ultimate-repair-strengthening-conditioner-950ml-4453856,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4453856.jpg&w=640&q=90
9.31E+12,"$19.00
$2.00 / 100ML",Schwarzkopf Extra Care Ultimate Repair Conditioner For Damaged Hair 950mL,Woolworths,23904,153395,950mL,https://www.woolworths.com.au/shop/productdetails/153395/schwarzkopf-extra-care-ultimate-repair-conditioner-for-damaged-hair,https://cdn0.woolworths.media/content/wowproductimages/large/153395.jpg
9.31E+12,,Schwarzkopf Extra Care Ultimate Repair Strengthen ... 400mL,coles,23904,4454032,400ml,https://www.coles.com.au/product/schwarzkopf-extra-care-ultimate-repair-strengthening-shampoo-400ml-4454032,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4454032.jpg&w=640&q=90
9.31E+12,"$9.00
$2.25 / 100ML",Schwarzkopf Extra Care Ultimate Repair Shampoo For Damaged Hair 400mL,Woolworths,23904,153058,400mL,https://www.woolworths.com.au/shop/productdetails/153058/schwarzkopf-extra-care-ultimate-repair-shampoo-for-damaged-hair,https://cdn0.woolworths.media/content/wowproductimages/large/153058.jpg
9.31E+12,,Schwarzkopf Extra Care Ultimate Repair Strengthen ... 950mL,coles,23904,4453823,950ml,https://www.coles.com.au/product/schwarzkopf-extra-care-ultimate-repair-strengthening-shampoo-950ml-4453823,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4453823.jpg&w=640&q=90
9.31E+12,"$19.00
$2.00 / 100ML",Schwarzkopf Extra Care Ultimate Repair Shampoo For Damaged Hair 950mL,Woolworths,23904,151899,950mL,https://www.woolworths.com.au/shop/productdetails/151899/schwarzkopf-extra-care-ultimate-repair-shampoo-for-damaged-hair,https://cdn0.woolworths.media/content/wowproductimages/large/151899.jpg
9.33E+12,,Sukin Hydrating Conditioner | 1L,coles,23904,3154984,1l,https://www.coles.com.au/product/sukin-hydrating-conditioner-1l-3154984,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3154984.jpg&w=640&q=90
9.33E+12,"$17.50
$35.00
$1.75 / 100ML",Sukin Hydrating Conditioner 1l,Woolworths,23904,201032,1L,https://www.woolworths.com.au/shop/productdetails/201032/sukin-hydrating-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/201032.jpg
9.33E+12,,Sukin Hydrating Conditioner | 500mL,coles,23904,2994152,500ml,https://www.coles.com.au/product/sukin-hydrating-conditioner-500ml-2994152,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2994152.jpg&w=640&q=90
9.33E+12,"Save $10.00
Price $10.00
$10.00
$20.00
$2.00 / 100ML",Sukin Hydrating Conditioner 500ml,Woolworths,23904,104337,500mL,https://www.woolworths.com.au/shop/productdetails/104337/sukin-hydrating-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/104337.jpg
