Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,NT,650,650,81,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,VIC,790,790,132,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,NSW,790,790,132,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,QLD,790,790,132,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,WA,790,790,132,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,SA,,790,,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,TAS,,750,,125,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,ACT,790,790,132,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9310645351452,Gold Kiwifruit Prepacked | 6 pack,coles,22362,4498311,NT,790,790,132,132,6pack,https://www.coles.com.au/product/gold-kiwifruit-prepacked-6-pack-4498311,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4498311.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,VIC,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,QLD,290,290,290,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
9369999053406,Coles Rosalee Pink Onions Prepacked | 1kg,coles,22383,2483914,SA,,290,,290,1kg,https://www.coles.com.au/product/coles-rosalee-pink-onions-prepacked-1kg-2483914,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2483914.jpg&w=640&q=90
